EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE
198,Donald,OConnell,DOCONNEL,650.507.9833,06/21/2007
199,Douglas,Grant,DGRANT,650.507.9844,01/13/2008
200,Jennifer,Whalen,JWHALEN,515.123.4444,09/17/2003
201,Michael,Hartstein,MHARTSTE,515.123.5555,02/17/2004
202,Pat,Fay,PFAY,603.123.6666,08/17/2005
203,Susan,Mavris,SMAVRIS,515.123.7777,06/07/2002
204,Hermann,Baer,HBAER,515.123.8888,06/07/2002
205,Shelley,Higgins,SHIGGINS,515.123.8080,06/07/2002
206,William,Gietz,WGIETZ,515.123.8181,06/07/2002
100,Steven,King,SKING,515.123.4567,06/17/2003
101,Neena,Kochhar,NKOCHHAR,515.123.4568,09/21/2005
102,Lex,De Haan,LDEHAAN,515.123.4569,01/13/2001
103,Alexander,Hunold,AHUNOLD,590.423.4567,01/03/2006
104,Bruce,Ernst,BERNST,590.423.4568,05/21/2007
105,David,Austin,DAUSTIN,590.423.4569,06/25/2005
106,Valli,Pataballa,VPATABAL,590.423.4560,02/05/2006
107,Diana,Lorentz,DLORENTZ,590.423.5567,02/07/2007
108,Nancy,Greenberg,NGREENBE,515.124.4569,08/17/2002
109,Daniel,Faviet,DFAVIET,515.124.4169,08/16/2002
110,John,Chen,JCHEN,515.124.4269,09/28/2005
111,Ismael,Sciarra,ISCIARRA,515.124.4369,09/30/2005
112,Jose Manuel,Urman,JMURMAN,515.124.4469,03/07/2006
113,Luis,Popp,LPOPP,515.124.4567,12/07/2007
114,Den,Raphaely,DRAPHEAL,515.127.4561,12/07/2002
115,Alexander,Khoo,AKHOO,515.127.4562,05/18/2003
116,Shelli,Baida,SBAIDA,515.127.4563,12/24/2005
117,Sigal,Tobias,STOBIAS,515.127.4564,07/24/2005
118,Guy,Himuro,GHIMURO,515.127.4565,11/15/2006
119,Karen,Colmenares,KCOLMENA,515.127.4566,08/10/2007
120,Matthew,Weiss,MWEISS,650.123.1234,07/18/2004
121,Adam,Fripp,AFRIPP,650.123.2234,04/10/2005
122,Payam,Kaufling,PKAUFLIN,650.123.3234,05/01/2003
123,Shanta,Vollman,SVOLLMAN,650.123.4234,10/10/2005
124,Kevin,Mourgos,KMOURGOS,650.123.5234,11/16/2007
125,Julia,Nayer,JNAYER,650.124.1214,07/16/2005
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,09/28/2006
127,James,Landry,JLANDRY,650.124.1334,01/14/2007
128,Steven,Markle,SMARKLE,650.124.1434,03/08/2008
129,Laura,Bissot,LBISSOT,650.124.5234,08/20/2005
130,Mozhe,Atkinson,MATKINSO,650.124.6234,10/30/2005
131,James,Marlow,JAMRLOW,650.124.7234,02/16/2005
132,TJ,Olson,TJOLSON,650.124.8234,04/10/2007
133,Jason,Mallin,JMALLIN,650.127.1934,06/14/2004
134,Michael,Rogers,MROGERS,650.127.1834,08/26/2006
135,Ki,Gee,KGEE,650.127.1734,12/12/2007
136,Hazel,Philtanker,HPHILTAN,650.127.1634,02/06/2008
137,Renske,Ladwig,RLADWIG,650.121.1234,07/14/2003
138,Stephen,Stiles,SSTILES,650.121.2034,10/26/2005
139,John,Seo,JSEO,650.121.2019,02/12/2006
140,Joshua,Patel,JPATEL,650.121.1834,04/06/2006
